[2019-01-03 14:18:33 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:18:38 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:43 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:45 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:47 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:18:54 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:56 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:57 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:58 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:18:59 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:19:00 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:19:01 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:19:05 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:19:09 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:19:23 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:19:26 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:20:00 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:20:02 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:20:04 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:20:55 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:21:10 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:24:03 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 14:24:08 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 14:24:39 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 15:18:06 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US
[2019-01-03 15:18:10 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
[2019-01-03 15:18:12 +0000] 10.10.10.1     	GET 	get_metadata	widget-blocks	1.8	5.0.2	http://localhost/updated	action=get_metadata&slug=widget-blocks&installed_version=1.8&php=7.0.32-0ubuntu0.16.04.1&locale=en_US&checking_for_updates=1
